Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Guizhou,Mainland China,2/2/2020 1:03:00,38,,2,0
Ningxia,Mainland China,2/2/2020 1:43:00,28,,0,0
Inner Mongolia,Mainland China,2/2/2020 3:43:00,27,,1,0
Jilin,Mainland China,2/2/2020 2:33:00,23,,1,0
Xinjiang,Mainland China,2/2/2020 0:43:00,21,,0,0
,Japan,2/1/2020 18:53:00,20,,1,0
,Thailand,1/31/2020 10:37:00,19,,5,0
,Singapore,2/2/2020 1:03:00,18,,0,0
Hong Kong,Hong Kong,2/2/2020 23:53:00,15,,0,0
,South Korea,2/2/2020 2:23:00,15,,0,0
Qinghai,Mainland China,2/2/2020 5:33:00,11,,0,0
,Germany,2/2/2020 18:03:00,10,,0,0
Taiwan,Taiwan,1/31/2020 15:20:00,10,,0,0
Macau,Macau,2/2/2020 4:23:00,8,,0,0
,Malaysia,1/31/2020 8:15:00,8,,0,0
,France,2/1/2020 1:52:00,6,,0,0
,Vietnam,2/1/2020 7:38:00,6,,1,0
,United Arab Emirates,2/2/2020 5:43:00,5,,0,0
New South Wales,Australia,2/1/2020 18:12:00,4,,2,0
Victoria,Australia,2/1/2020 18:12:00,4,,0,0
Ontario,Canada,2/1/2020 18:12:00,3,,0,0
Queensland,Australia,2/2/2020 22:33:00,2,,0,0
South Australia,Australia,2/2/2020 22:33:00,2,,0,0
,India,2/2/2020 6:03:00,2,,0,0
,Italy,1/31/2020 8:15:00,2,,0,0
,Philippines,2/2/2020 3:33:00,2,,0,1
,Russia,1/31/2020 16:13:00,2,,0,0
,UK,2/1/2020 1:52:00,2,,0,0
"Chicago, IL",United States,2/1/2020 19:43:00,2,,0,0
,Cambodia,2/3/2020 0:43:00,1,,0,0
British Columbia,Canada,1/31/2020 8:15:00,1,,0,0
,Finland,2/1/2020 18:12:00,1,,0,0
Tibet,Mainland China,1/31/2020 8:15:00,1,,0,0
,Nepal,2/1/2020 1:52:00,1,,0,0
,Spain,1/31/2020 8:15:00,1,,0,0
,Sri Lanka,2/1/2020 23:43:00,1,,0,0
,Sweden,1/31/2020 8:15:00,1,,0,0
"Boston, MA",United States,2/1/2020 2:13:00,1,,0,0
"Los Angeles, CA",United States,2/1/2020 19:43:00,1,,0,0
"Orange, CA",United States,2/1/2020 19:53:00,1,,0,0
"Santa Clara, CA",United States,2/1/2020 19:53:00,1,,0,0
"Seattle, WA",United States,2/1/2020 19:43:00,1,,0,0
"Tempe, AZ",United States,2/1/2020 19:43:00,1,,0,0
Hubei,Mainland China,2/1/2020 23:33:00,11177,,295,350
Zhejiang,Mainland China,2/2/2020 2:13:00,661,,32,0
Guangdong,Mainland China,2/2/2020 8:53:00,632,,15,0
Henan,Mainland China,2/2/2020 0:53:00,493,,10,2
Hunan,Mainland China,2/2/2020 9:43:00,463,,16,0
Anhui,Mainland China,2/2/2020 1:33:00,340,,7,0
Jiangxi,Mainland China,2/2/2020 1:23:00,333,,12,0
Chongqing,Mainland China,2/2/2020 8:23:00,300,,7,2
Jiangsu,Mainland China,2/2/2020 1:13:00,236,,7,0
Sichuan,Mainland China,2/2/2020 1:03:00,231,,11,1
Shandong,Mainland China,2/2/2020 7:43:00,230,,6,0
Shanghai,Mainland China,2/2/2020 8:43:00,193,,10,1
Beijing,Mainland China,2/2/2020 5:53:00,191,,9,1
Fujian,Mainland China,2/2/2020 3:43:00,159,,0,0
Guangxi,Mainland China,2/2/2020 3:23:00,127,,2,0
Shaanxi,Mainland China,2/2/2020 0:23:00,116,,0,0
Hebei,Mainland China,2/2/2020 2:53:00,113,,3,1
Yunnan,Mainland China,2/2/2020 8:03:00,105,,3,0
Heilongjiang,Mainland China,2/2/2020 3:23:00,95,,2,2
Liaoning,Mainland China,2/2/2020 8:03:00,70,,1,0
Shanxi,Mainland China,2/2/2020 9:53:00,66,,3,0
Hainan,Mainland China,2/1/2020 23:33:00,64,,4,1
Gansu,Mainland China,2/2/2020 9:43:00,51,,3,0
Tianjin,Mainland China,2/1/2020 15:43:00,48,,1,0
Guizhou,Mainland China,2/2/2020 1:03:00,38,,2,0
Ningxia,Mainland China,2/2/2020 1:43:00,28,,0,0
Inner Mongolia,Mainland China,2/2/2020 3:43:00,27,,1,0
Jilin,Mainland China,2/2/2020 2:33:00,23,,1,0
Xinjiang,Mainland China,2/2/2020 0:43:00,21,,0,0
,Japan,2/1/2020 18:53:00,20,,1,0
,Thailand,1/31/2020 10:37:00,19,,5,0
,Singapore,2/2/2020 1:03:00,18,,0,0
Hong Kong,Hong Kong,2/2/2020 2:23:00,15,,0,0
,South Korea,2/2/2020 1:03:00,15,,0,0
Qinghai,Mainland China,2/2/2020 5:33:00,11,,0,0
,Germany,1/31/2020 15:20:00,10,,0,0
Taiwan,Taiwan,2/1/2020 23:33:00,10,,0,0
Macau,Macau,2/2/2020 4:23:00,8,,0,0
,Malaysia,1/31/2020 8:15:00,8,,0,0
,France,2/1/2020 1:52:00,6,,0,0
,Vietnam,2/1/2020 7:38:00,6,,1,0
,United Arab Emirates,2/2/2020 5:43:00,5,,0,0
New South Wales,Australia,2/1/2020 18:12:00,4,,2,0
Victoria,Australia,2/1/2020 18:12:00,4,,0,0
Ontario,Canada,2/1/2020 18:12:00,3,,0,0
Queensland,Australia,2/1/2020 18:12:00,2,,0,0
South Australia,Australia,2/2/2020 6:03:00,2,,0,0
,India,1/31/2020 8:15:00,2,,0,0
,Italy,2/2/2020 3:33:00,2,,0,0
,Philippines,1/31/2020 16:13:00,2,,0,1
,Russia,2/1/2020 1:52:00,2,,0,0
,UK,2/1/2020 19:43:00,2,,0,0
"Chicago, IL",United States,2/1/2020 18:12:00,2,,0,0
,Cambodia,1/31/2020 8:15:00,1,,0,0
British Columbia,Canada,2/1/2020 18:12:00,1,,0,0
,Finland,1/31/2020 8:15:00,1,,0,0
Tibet,Mainland China,2/1/2020 1:52:00,1,,0,0
,Nepal,1/31/2020 8:15:00,1,,0,0
,Spain,2/1/2020 23:43:00,1,,0,0
,Sri Lanka,1/31/2020 8:15:00,1,,0,0
,Sweden,2/1/2020 2:13:00,1,,0,0
"Boston, MA",United States,2/1/2020 19:43:00,1,,0,0
"Los Angeles, CA",United States,2/1/2020 19:53:00,1,,0,0
"Orange, CA",United States,2/1/2020 19:53:00,1,,0,0
"Santa Clara, CA",United States,2/1/2020 19:53:00,1,,0,0
"Seattle, WA",United States,2/1/2020 19:43:00,1,,0,0
"Tempe, AZ",United States,2/1/2020 19:43:00,1,,0,0
Hubei,Mainland China,2/1/2020 23:33,9074,,215,294
Zhejiang,Mainland China,2/2/2020 2:13,661,,23,0
Guangdong,Mainland China,2/2/2020 1:23,604,,14,0
Henan,Mainland China,2/2/2020 0:53,493,,4,2
Hunan,Mainland China,2/2/2020 1:53,463,,8,0
Anhui,Mainland China,2/2/2020 1:33,340,,5,0
Jiangxi,Mainland China,2/2/2020 1:23,333,,10,0
Chongqing,Mainland China,2/1/2020 23:43,262,,3,1
Jiangsu,Mainland China,2/2/2020 1:13,236,,6,0
Sichuan,Mainland China,2/2/2020 1:03,231,,3,1
Shandong,Mainland China,2/2/2020 1:03,225,,5,0
Beijing,Mainland China,2/2/2020 3:05,183,,9,1
Shanghai,Mainland China,2/2/2020 0:23,177,,10,1
Fujian,Mainland China,2/2/2020 3:43,159,,0,0
Shaanxi,Mainland China,2/2/2020 3:23,116,,0,0
Guangxi,Mainland China,2/2/2020 0:23,111,,2,0
Hebei,Mainland China,2/2/2020 2:53,104,,3,1
Heilongjiang,Mainland China,2/2/2020 3:23,95,,2,2
Yunnan,Mainland China,2/1/2020 15:53,93,,2,0
Liaoning,Mainland China,2/1/2020 15:23,64,,1,0
Hainan,Mainland China,2/2/2020 1:03,63,,1,1
Shanxi,Mainland China,2/1/2020 23:33,56,,1,0
Tianjin,Mainland China,2/2/2020 2:03,45,,0,0
Gansu,Mainland China,2/1/2020 15:43,40,,0,0
Guizhou,Mainland China,2/2/2020 1:03,38,,2,0
Ningxia,Mainland China,2/2/2020 1:43,28,,0,0
Inner Mongolia,Mainland China,2/2/2020 3:43,27,,1,0
Jilin,Mainland China,2/2/2020 2:33,23,,1,0
Xinjiang,Mainland China,2/2/2020 0:43,21,,0,0
,Japan,2/1/2020 18:53,20,,1,0
,Thailand,1/31/2020 10:37,19,,5,0
,Singapore,2/2/2020 1:03,18,,0,0
,South Korea,2/2/2020 2:23,15,,0,0
Hong Kong,Hong Kong,2/2/2020 1:03,14,,0,0
Taiwan,Taiwan,1/31/2020 15:20,10,,0,0
Qinghai,Mainland China,2/1/2020 5:37,9,,0,0
,Germany,2/1/2020 23:33,8,,0,0
,Malaysia,1/31/2020 8:15,8,,0,0
Macau,Macau,1/31/2020 8:15,7,,0,0
,France,2/1/2020 1:52,6,,0,0
,Vietnam,2/1/2020 7:38,6,,1,0
New South Wales,Australia,2/1/2020 18:12,4,,2,0
Victoria,Australia,2/1/2020 18:12,4,,0,0
,United Arab Emirates,1/31/2020 8:15,4,,0,0
Queensland,Australia,2/1/2020 18:12,2,,0,0
Ontario,Canada,2/1/2020 18:12,3,,0,0
,Italy,1/31/2020 8:15,2,,0,0
,Philippines,2/2/2020 3:33,2,,0,1
,Russia,1/31/2020 16:13,2,,0,0
,UK,2/1/2020 1:52,2,,0,0
"Chicago, IL",United States,2/1/2020 19:43,2,,0,0
South Australia,Australia,2/1/2020 18:12,2,,0,0
,Cambodia,1/31/2020 8:15,1,,0,0
British Columbia,Canada,2/1/2020 18:12,1,,0,0
,Finland,1/31/2020 8:15,1,,0,0
,India,1/31/2020 8:15,1,,0,0
Tibet,Mainland China,2/1/2020 1:52,1,,0,0
,Nepal,1/31/2020 8:15,1,,0,0
,Spain,2/1/2020 23:43,1,,0,0
,Sri Lanka,1/31/2020 8:15,1,,0,0
,Sweden,2/1/2020 2:13,1,,0,0
"Boston, MA",United States,2/1/2020 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/2020 19:53,1,,0,0
"Orange, CA",United States,2/1/2020 19:53,1,,0,0
"Santa Clara, CA",United States,2/1/2020 19:53,1,,0,0
"Seattle, WA",United States,2/1/2020 19:43,1,,0,0
"Tempe, AZ",United States,2/1/2020 19:43,1,,0,0
Hubei,Mainland China,2/1/2020 11:53,7153,,168,249
Zhejiang,Mainland China,2/1/2020 10:53,599,,21,0
Guangdong,Mainland China,2/1/2020 14:23,535,,14,0
Henan,Mainland China,2/1/2020 1:52,422,,3,2
Hunan,Mainland China,2/1/2020 11:03,389,,8,0
Anhui,Mainland China,2/1/2020 13:33,297,,5,0
Jiangxi,Mainland China,2/1/2020 1:52,286,,9,0
Chongqing,Mainland China,2/1/2020 8:43,247,,3,1
Sichuan,Mainland China,2/1/2020 1:52,207,,3,1
Shandong,Mainland China,2/1/2020 7:51,206,,3,0
Jiangsu,Mainland China,2/1/2020 14:03,202,,6,0
Shanghai,Mainland China,2/1/2020 6:05,169,,10,1
Beijing,Mainland China,2/1/2020 9:17,168,,9,1
Fujian,Mainland China,2/1/2020 5:37,144,,0,0
Shaanxi,Mainland China,2/1/2020 5:37,101,,0,0
Guangxi,Mainland China,2/1/2020 1:52,100,,2,0
Hebei,Mainland China,2/1/2020 1:52,96,,0,1
Yunnan,Mainland China,2/1/2020 15:53,93,,2,0
Heilongjiang,Mainland China,2/1/2020 10:33,80,,2,2
Liaoning,Mainland China,2/1/2020 15:23,64,,1,0
Hainan,Mainland China,2/1/2020 8:43,62,,1,1
Shanxi,Mainland China,2/1/2020 1:52,47,,1,0
Tianjin,Mainland China,2/1/2020 15:43,41,,0,0
Gansu,Mainland China,2/1/2020 15:43,40,,0,0
Guizhou,Mainland China,1/31/2020 15:20,29,,2,0
Ningxia,Mainland China,2/1/2020 2:13,26,,0,0
Inner Mongolia,Mainland China,2/1/2020 5:37,23,,1,0
,Japan,2/1/2020 18:53,20,,1,0
,Thailand,1/31/2020 10:37,19,,5,0
Xinjiang,Mainland China,2/1/2020 5:37,18,,0,0
Jilin,Mainland China,2/1/2020 1:52,17,,1,0
,Singapore,2/1/2020 5:37,16,,0,0
Hong Kong,Hong Kong,2/1/2020 5:37,13,,0,0
,South Korea,2/1/2020 10:43,12,,0,0
Taiwan,Taiwan,1/31/2020 15:20,10,,0,0
Qinghai,Mainland China,2/1/2020 5:37,9,,0,0
,Malaysia,1/31/2020 8:15,8,,0,0
,Germany,2/1/2020 18:33,8,,0,0
Macau,Macau,1/31/2020 8:15,7,,0,0
,France,2/1/2020 1:52,6,,0,0
,Vietnam,2/1/2020 7:38,6,,1,0
New South Wales,Australia,2/1/2020 18:12,4,,2,0
Victoria,Australia,2/1/2020 18:12,4,,0,0
,United Arab Emirates,1/31/2020 8:15,4,,0,0
Queensland,Australia,2/1/2020 18:12,3,,0,0
Ontario,Canada,2/1/2020 18:12,3,,0,0
,Italy,1/31/2020 8:15,2,,0,0
,Russia,1/31/2020 16:13,2,,0,0
,UK,2/1/2020 1:52,2,,0,0
"Chicago, IL",United States,2/1/2020 19:43,2,,0,0
South Australia,Australia,2/1/2020 18:12,1,,0,0
,Cambodia,1/31/2020 8:15,1,,0,0
British Columbia,Canada,2/1/2020 18:12,1,,0,0
,Finland,1/31/2020 8:15,1,,0,0
,India,1/31/2020 8:15,1,,0,0
Tibet,Mainland China,2/1/2020 1:52,1,,0,0
,Nepal,1/31/2020 8:15,1,,0,0
,Philippines,2/1/2020 17:43,1,,0,0
,Spain,2/1/2020 2:13,1,,0,0
,Sri Lanka,1/31/2020 8:15,1,,0,0
,Sweden,2/1/2020 2:13,1,,0,0
"Boston, MA",United States,2/1/2020 19:43,1,,0,0
"Los Angeles, CA",United States,2/1/2020 19:53,1,,0,0
"Orange, CA",United States,2/1/2020 19:53,1,,0,0
"Santa Clara, CA",United States,2/1/2020 19:53,1,,0,0
"Seattle, WA",United States,2/1/2020 19:43,1,,0,0
"Tempe, AZ",United States,2/1/2020 19:43,1,,0,0
Hubei,Mainland China,2/1/2020 10:00,7153,,168,249
Zhejiang,Mainland China,2/1/2020 10:00,599,,21,
Guangdong,Mainland China,2/1/2020 10:00,535,,14,
Henan,Mainland China,2/1/2020 10:00,422,,3,2
Hunan,Mainland China,2/1/2020 10:00,389,,8,
Anhui,Mainland China,2/1/2020 10:00,297,,5,
Jiangxi,Mainland China,2/1/2020 10:00,286,,9,
Chongqing,Mainland China,2/1/2020 10:00,247,,3,1
Sichuan,Mainland China,2/1/2020 10:00,207,,3,1
Shandong,Mainland China,2/1/2020 10:00,206,,3,
Jiangsu,Mainland China,2/1/2020 10:00,202,,6,
Shanghai,Mainland China,2/1/2020 10:00,169,,10,1
Beijing,Mainland China,2/1/2020 10:00,168,,9,1
Fujian,Mainland China,2/1/2020 10:00,144,,,
Shaanxi,Mainland China,2/1/2020 10:00,101,,,
Guangxi,Mainland China,2/1/2020 10:00,100,,2,
Hebei,Mainland China,2/1/2020 10:00,96,,,1
Yunnan,Mainland China,2/1/2020 10:00,91,,2,
Heilongjiang,Mainland China,2/1/2020 10:00,80,,2,2
Liaoning,Mainland China,2/1/2020 10:00,63,,1,
Hainan,Mainland China,2/1/2020 10:00,62,,1,1
Shanxi,Mainland China,2/1/2020 10:00,47,,1,
Tianjin,Mainland China,2/1/2020 10:00,38,,,
Gansu,Mainland China,2/1/2020 10:00,35,,,
Guizhou,Mainland China,2/1/2020 10:00,29,,2,
Ningxia,Mainland China,2/1/2020 10:00,26,,,
Inner Mongolia,Mainland China,2/1/2020 10:00,23,,1,
Xinjiang,Mainland China,2/1/2020 10:00,18,,,
Jilin,Mainland China,2/1/2020 10:00,17,,1,
Hong Kong,Hong Kong,2/1/2020 10:00,13,,,
Taiwan,Taiwan,2/1/2020 10:00,10,,,
Qinghai,Mainland China,2/1/2020 10:00,9,,,
Macau,Macau,2/1/2020 10:00,7,,,
Tibet,Mainland China,2/1/2020 10:00,1,,,
Washington,United States,2/1/2020 10:00,1,,,
Illinois,United States,2/1/2020 10:00,2,,,
California,United States,2/1/2020 10:00,3,,,
Arizona,United States,2/1/2020 10:00,1,,,
,Japan,2/1/2020 10:00,17,,1,
,Thailand,2/1/2020 10:00,19,,7,
,South Korea,2/1/2020 10:00,12,,,
,Singapore,2/1/2020 10:00,18,,,
,Vietnam,2/1/2020 10:00,6,,1,
,France,2/1/2020 10:00,6,,,
,Nepal,2/1/2020 10:00,1,,,
,Malaysia,2/1/2020 10:00,8,,,
Ontario,Canada,2/1/2020 10:00,3,,,
British Columbia,Canada,2/1/2020 10:00,1,,,
,Cambodia,2/1/2020 10:00,1,,,
,Sri Lanka,2/1/2020 10:00,1,,1,
New South Wales,Australia,2/1/2020 10:00,4,,2,
Victoria,Australia,2/1/2020 10:00,4,,,
Queensland,Australia,2/1/2020 10:00,3,,,
South Australia,Australia,2/1/2020 10:00,1,,,
Bavaria,Germany,2/1/2020 10:00,7,,,
,Finland,2/1/2020 10:00,1,,,
,United Arab Emirates,2/1/2020 10:00,4,,,
,Philippines,2/1/2020 10:00,1,,,
,India,2/1/2020 10:00,1,,,
,Italy,2/1/2020 10:00,2,,,
,Sweden,2/1/2020 10:00,1,,,
,Russia,2/1/2020 10:00,2,,,
,Spain,2/1/2020 10:00,1,,,
,UK,2/1/2020 10:00,2,,,
Hubei,Mainland China,1/31/2020 19:00,7153,,169,249
Zhejiang,Mainland China,1/31/2020 19:00,537,,14,
Guangdong,Mainland China,1/31/2020 19:00,436,,10,
Henan,Mainland China,1/31/2020 19:00,352,,3,2
Hunan,Mainland China,1/31/2020 19:00,332,,3,
Jiangxi,Mainland China,1/31/2020 19:00,240,,7,
Chongqing,Mainland China,1/31/2020 19:00,238,,1,1
Anhui,Mainland China,1/31/2020 19:00,237,,3,
Shandong,Mainland China,1/31/2020 19:00,184,,2,
Sichuan,Mainland China,1/31/2020 19:00,177,,1,1
Jiangsu,Mainland China,1/31/2020 19:00,168,,5,
Shanghai,Mainland China,1/31/2020 19:00,153,,9,1
Beijing,Mainland China,1/31/2020 19:00,139,,5,1
Fujian,Mainland China,1/31/2020 19:00,120,,,
Hebei,Mainland China,1/31/2020 19:00,96,,,1
Guangxi,Mainland China,1/31/2020 19:00,88,,2,
Shaanxi,Mainland China,1/31/2020 19:00,87,,,
Yunnan,Mainland China,1/31/2020 19:00,83,,1,
Liaoning,Mainland China,1/31/2020 19:00,60,,1,
Heilongjiang,Mainland China,1/31/2020 19:00,59,,,2
Hainan,Mainland China,1/31/2020 19:00,58,,1,1
Shanxi,Mainland China,1/31/2020 19:00,47,,1,
Gansu,Mainland China,1/31/2020 19:00,35,,,
Tianjin,Mainland China,1/31/2020 19:00,32,,,
Guizhou,Mainland China,1/31/2020 19:00,29,,2,
Ningxia,Mainland China,1/31/2020 19:00,21,,1,
Inner Mongolia,Mainland China,1/31/2020 19:00,20,,,
Xinjiang,Mainland China,1/31/2020 19:00,17,,,
Jilin,Mainland China,1/31/2020 19:00,14,,1,
Hong Kong,Hong Kong,1/31/2020 19:00,13,,,
Taiwan,Taiwan,1/31/2020 19:00,10,,,
Qinghai,Mainland China,1/31/2020 19:00,8,,,
Macau,Macau,1/31/2020 19:00,7,,,
Tibet,Mainland China,1/31/2020 19:00,1,,,
Washington,United States,1/31/2020 19:00,1,,,
Illinois,United States,1/31/2020 19:00,2,,,
California,United States,1/31/2020 19:00,3,,,
Arizona,United States,1/31/2020 19:00,1,,,
,Japan,1/31/2020 19:00,17,,1,
,Thailand,1/31/2020 19:00,19,,7,
,South Korea,1/31/2020 19:00,11,,,
,Singapore,1/31/2020 19:00,16,,,
,Vietnam,1/31/2020 19:00,2,,,
,France,1/31/2020 19:00,6,,,
,Nepal,1/31/2020 19:00,1,,,
,Malaysia,1/31/2020 19:00,8,,,
Ontario,Canada,1/31/2020 19:00,2,,,
British Columbia,Canada,1/31/2020 19:00,1,,,
,Cambodia,1/31/2020 19:00,1,,,
,Sri Lanka,1/31/2020 19:00,1,,,
New South Wales,Australia,1/31/2020 19:00,4,,2,
Victoria,Australia,1/31/2020 19:00,2,,,
Queensland,Australia,1/31/2020 19:00,3,,,
Bavaria,Germany,1/31/2020 19:00,7,,,
,Finland,1/31/2020 19:00,1,,,
,United Arab Emirates,1/31/2020 19:00,4,,,
,Philippines,1/31/2020 19:00,1,,,
,India,1/31/2020 19:00,1,,,
,Italy,1/31/2020 19:00,2,,,
,Sweden,1/31/2020 19:00,1,,,
,Russia,1/31/2020 19:00,2,,,
,Spain,1/31/2020 19:00,1,,,
,UK,1/31/2020 19:00,2,,,
Hubei,Mainland China,1/31/2020 14:00,5806,,141,204
Zhejiang,Mainland China,1/31/2020 14:00,538,,14,
Guangdong,Mainland China,1/31/2020 14:00,436,,11,
Henan,Mainland China,1/31/2020 14:00,352,,3,2
Hunan,Mainland China,1/31/2020 14:00,332,,2,
Jiangxi,Mainland China,1/31/2020 14:00,240,,7,
Anhui,Mainland China,1/31/2020 14:00,237,,3,
Chongqing,Mainland China,1/31/2020 14:00,211,,1,
Shandong,Mainland China,1/31/2020 14:00,184,,2,
Sichuan,Mainland China,1/31/2020 14:00,177,,1,1
Jiangsu,Mainland China,1/31/2020 14:00,168,,5,
Beijing,Mainland China,1/31/2020 14:00,139,,5,1
Shanghai,Mainland China,1/31/2020 14:00,135,,9,1
Fujian,Mainland China,1/31/2020 14:00,120,,,
Guangxi,Mainland China,1/31/2020 14:00,87,,2,
Shaanxi,Mainland China,1/31/2020 14:00,87,,,
Yunnan,Mainland China,1/31/2020 14:00,83,,1,
Hebei,Mainland China,1/31/2020 14:00,82,,,1
Heilongjiang,Mainland China,1/31/2020 14:00,59,,,2
Hainan,Mainland China,1/31/2020 14:00,52,,1,1
Liaoning,Mainland China,1/31/2020 14:00,48,,1,
Shanxi,Mainland China,1/31/2020 14:00,39,,1,
Tianjin,Mainland China,1/31/2020 14:00,32,,,
Guizhou,Mainland China,1/31/2020 14:00,29,,2,
Gansu,Mainland China,1/31/2020 14:00,29,,,
Ningxia,Mainland China,1/31/2020 14:00,21,,,
Inner Mongolia,Mainland China,1/31/2020 14:00,20,,1,
Xinjiang,Mainland China,1/31/2020 14:00,17,,,
Jilin,Mainland China,1/31/2020 14:00,14,,1,
Hong Kong,Hong Kong,1/31/2020 14:00,12,,,
Taiwan,Taiwan,1/31/2020 14:00,10,,,
Qinghai,Mainland China,1/31/2020 14:00,8,,,
Macau,Macau,1/31/2020 14:00,7,,,
Tibet,Mainland China,1/31/2020 14:00,1,,,
,Thailand,1/31/2020 14:00,19,,5,
,Japan,1/31/2020 14:00,15,,1,
,Singapore,1/31/2020 14:00,13,,,
,South Korea,1/31/2020 14:00,11,,,
,Malaysia,1/31/2020 14:00,8,,,
,France,1/31/2020 14:00,5,,,
Bavaria,Germany,1/31/2020 14:00,5,,,
New South Wales,Australia,1/31/2020 14:00,4,,2,
,United Arab Emirates,1/31/2020 14:00,4,,,
Victoria,Australia,1/31/2020 14:00,3,,,
Illinois,United States,1/31/2020 14:00,2,,,
California,United States,1/31/2020 17:00,3,,,
,Vietnam,1/31/2020 14:00,2,,,
Ontario,Canada,1/31/2020 14:00,2,,,
Queensland,Australia,1/31/2020 14:00,2,,,
,Italy,1/31/2020 14:00,2,,,
,UK,1/31/2020 14:00,2,,,
,Russia,1/31/2020 14:00,2,,,
Washington,United States,1/31/2020 14:00,1,,,
Arizona,United States,1/31/2020 14:00,1,,,
,Nepal,1/31/2020 14:00,1,,,
British Columbia,Canada,1/31/2020 14:00,1,,,
,Cambodia,1/31/2020 14:00,1,,,
,Sri Lanka,1/31/2020 14:00,1,,,
,Finland,1/31/2020 14:00,1,,,
,Philippines,1/31/2020 14:00,1,,,
,India,1/31/2020 14:00,1,,,
,Sweden,1/31/2020 14:00,1,,,
Hubei,Mainland China,1/30/2020 21:30,5806,,116,204
Zhejiang,Mainland China,1/30/2020 21:30,537,,9,
Guangdong,Mainland China,1/30/2020 21:30,393,,11,
Henan,Mainland China,1/30/2020 21:30,352,,3,2
Hunan,Mainland China,1/30/2020 21:30,332,,2,
Jiangxi,Mainland China,1/30/2020 21:30,240,,7,
Anhui,Mainland China,1/30/2020 21:30,237,,3,
Chongqing,Mainland China,1/30/2020 21:30,206,,1,
Shandong,Mainland China,1/30/2020 21:30,178,,2,
Sichuan,Mainland China,1/30/2020 21:30,177,,1,1
Jiangsu,Mainland China,1/30/2020 21:30,168,,2,
Shanghai,Mainland China,1/30/2020 21:30,128,,9,1
Beijing,Mainland China,1/30/2020 21:30,121,,5,1
Fujian,Mainland China,1/30/2020 21:30,101,,,
Guangxi,Mainland China,1/30/2020 21:30,87,,2,
Hebei,Mainland China,1/30/2020 21:30,82,,,1
Yunnan,Mainland China,1/30/2020 21:30,76,,,
Shaanxi,Mainland China,1/30/2020 21:30,87,,,
Heilongjiang,Mainland China,1/30/2020 21:30,59,,,2
Hainan,Mainland China,1/30/2020 21:30,50,,1,1
Liaoning,Mainland China,1/30/2020 21:30,45,,1,
Shanxi,Mainland China,1/30/2020 21:30,39,,1,
Tianjin,Mainland China,1/30/2020 21:30,32,,,
Gansu,Mainland China,1/30/2020 21:30,29,,,
Ningxia,Mainland China,1/30/2020 21:30,21,,1,
Inner Mongolia,Mainland China,1/30/2020 21:30,20,,,
Xinjiang,Mainland China,1/30/2020 21:30,17,,,
Guizhou,Mainland China,1/30/2020 21:30,15,,1,
Jilin,Mainland China,1/30/2020 21:30,14,,1,
Hong Kong,Hong Kong,1/30/2020 21:30,12,,,
Taiwan,Taiwan,1/30/2020 21:30,9,,,
Qinghai,Mainland China,1/30/2020 21:30,8,,,
Macau,Macau,1/30/2020 21:30,7,,,
Tibet,Mainland China,1/30/2020 21:30,1,,,
Washington,United States,1/30/2020 21:30,1,,,
Illinois,United States,1/30/2020 21:30,2,,,
California,United States,1/30/2020 21:30,2,,,
Arizona,United States,1/30/2020 21:30,1,,,
,Japan,1/30/2020 21:30,11,,1,
,Thailand,1/30/2020 21:30,14,,5,
,South Korea,1/30/2020 21:30,6,,,
,Singapore,1/30/2020 21:30,10,,,
,Vietnam,1/30/2020 21:30,2,,,
,France,1/30/2020 21:30,5,,,
,Nepal,1/30/2020 21:30,1,,,
,Malaysia,1/30/2020 21:30,8,,,
Ontario,Canada,1/30/2020 21:30,2,,,
British Columbia,Canada,1/30/2020 21:30,1,,,
,Cambodia,1/30/2020 21:30,1,,,
,Sri Lanka,1/30/2020 21:30,1,,,
New South Wales,Australia,1/30/2020 21:30,4,,2,
Victoria,Australia,1/30/2020 21:30,2,,,
Queensland,Australia,1/30/2020 21:30,3,,,
Bavaria,Germany,1/30/2020 21:30,4,,,
,Finland,1/30/2020 21:30,1,,,
,United Arab Emirates,1/30/2020 21:30,4,,,
,Philippines,1/30/2020 21:30,1,,,
,India,1/30/2020 21:30,1,,,
,Italy,1/30/2020 21:30,2,,,
Hubei,Mainland China,1/30/2020 11:00,4903,,90,162
Zhejiang,Mainland China,1/30/2020 11:00,428,,4,
Guangdong,Mainland China,1/30/2020 11:00,354,,10,
Henan,Mainland China,1/30/2020 11:00,278,,2,2
Hunan,Mainland China,1/30/2020 11:00,277,,2,
Anhui,Mainland China,1/30/2020 11:00,200,,2,
Chongqing,Mainland China,1/30/2020 11:00,182,,1,
Jiangxi,Mainland China,1/30/2020 11:00,162,,5,
Shandong,Mainland China,1/30/2020 11:00,158,,1,
Sichuan,Mainland China,1/30/2020 11:00,142,,1,1
Jiangsu,Mainland China,1/30/2020 11:00,129,,1,
Beijing,Mainland China,1/30/2020 11:00,114,,4,1
Shanghai,Mainland China,1/30/2020 11:00,112,,5,1
Fujian,Mainland China,1/30/2020 11:00,101,,,
Guangxi,Mainland China,1/30/2020 11:00,78,,2,
Yunnan,Mainland China,1/30/2020 11:00,70,,,
Hebei,Mainland China,1/30/2020 11:00,65,,,1
